Distance_(pixels),Gray_Value
454,9.81451
455,9.86142
456,9.83426
457,9.90648
458,9.90216
459,9.95772
460,9.95463
461,10.00309
462,9.99599
463,10.05401
464,9.98302
465,9.94444
466,9.85000
467,9.86389
468,9.81914
469,9.78951
470,9.77593
471,9.74352
472,9.71759
473,9.74506
474,9.73889
475,9.76759
476,9.75370
477,9.80093
478,9.80154
479,9.84105
480,9.82870
481,10.08179
482,10.06667
483,10.06327
484,10.05833
485,10.09414
486,10.07068
487,10.08457
488,10.07160
489,10.10802
490,10.09074
491,10.12932
492,10.11235
493,10.16018
494,10.15556
495,10.21049
496,10.20741
497,10.45339
498,10.43210
499,10.43395
500,10.39846
501,10.38796
502,10.37778
503,10.36451
504,10.34661
505,10.38488
506,10.34938
507,10.31636
508,10.28951
509,10.29568
510,10.27068
511,10.32932
512,10.31111
513,10.32932
514,10.30031
515,10.26265
516,10.22438
517,10.19475
518,10.14907
519,10.17994
520,10.15432
521,10.18302
522,10.17315
523,10.17407
524,10.16698
525,10.21235
526,10.20556
527,10.26142
528,10.18796
529,10.17778
530,10.10309
531,10.05401
532,10.02407
533,9.98704
534,9.94630
535,9.90309
536,9.89198
537,9.84012
538,9.81975
539,9.78642
540,9.77315
541,9.77284
542,9.73117
543,9.72346
544,9.65957
545,9.65556
546,9.59043
547,9.58920
548,9.58426
549,9.60247
550,9.59259
551,9.59722
552,9.58302
553,9.52160
554,9.50741
555,9.52593
556,9.50710
557,9.54383
558,9.52222
559,9.54599
560,9.48951
561,9.45556
562,9.39815
563,9.38056
564,9.33333
565,9.30556
566,9.27870
567,9.26265
568,9.24784
569,9.19753
570,9.18364
571,9.21944
572,9.18642
573,9.22870
574,9.23364
575,9.23981
576,9.15278
577,8.99012
578,8.90247
579,8.90988
580,8.84784
581,8.83302
582,8.78704
583,8.79444
584,8.76389
585,8.75772
586,8.72099
587,8.71296
588,8.67469
589,8.66235
590,8.64969
591,8.63858
592,8.59290
593,8.66667
594,8.63858
595,8.62778
596,8.59877
597,8.62006
598,8.59537
599,8.62809
600,8.61173
601,8.60340
602,8.59969
603,8.64537
604,8.62068
605,8.63765
606,8.59599
607,8.63981
608,8.61389
609,8.76019
610,8.75340
611,8.78333
612,8.76173
613,8.74753
614,8.74938
615,8.78765
616,8.78642
617,8.81049
618,8.77778
619,8.82593
620,8.82099
621,8.87994
622,8.86698
623,8.86389
624,8.82839
625,8.98549
626,8.91204
627,8.92284
628,8.88148
629,8.86358
630,8.83704
631,8.79506
632,8.77809
633,8.74321
634,8.71389
635,8.69414
636,8.66265
637,8.63025
638,8.61821
639,8.63241
640,8.60123
641,8.72901
642,8.68858
643,8.69074
644,8.65772
645,8.67685
646,8.66111
647,8.66914
648,8.66667
649,8.64074
650,8.63395
651,8.68765
652,8.66018
653,8.70370
654,8.70617
655,8.74167
656,8.73302
657,8.68519
658,8.65710
659,8.65710
660,8.60741
661,8.61759
662,8.60710
663,8.58117
664,8.58210
665,8.56914
666,8.56605
667,8.65556
668,8.64537
669,8.69074
670,8.69167
671,8.72870
672,8.71821
673,8.88148
674,8.85309
675,8.84136
676,8.77994
677,8.71667
678,8.67562
679,8.66142
680,8.62994
681,8.60494
682,8.58982
683,8.64136
684,8.64228
685,8.71944
686,8.73796
687,8.78457
688,8.76142
689,8.84877
690,8.80154
691,8.76790
692,8.72901
693,8.71728
694,8.67593
695,8.65772
696,8.64877
697,8.75494
698,8.76574
699,8.90679
700,8.91975
701,9.09907
702,9.09784
703,9.22963
704,9.21728
